[2022-01-10 14:07:01,824 I 15856 15856] core_worker.cc:132: Constructing CoreWorkerProcess. pid: 15856
[2022-01-10 14:07:02,594 I 15856 15856] grpc_server.cc:112: driver server started, listening on port 34969.
[2022-01-10 14:07:02,597 I 15856 15856] core_worker.cc:479: Initializing worker at address: 131.215.21.210:34969, worker ID 01000000ffffffffffffffffffffffffffffffffffffffffffffffff, raylet 1b48b22822d406d2f85ddaf36537bafbf310212f56f3dcf9e3713eb6
[2022-01-10 14:07:02,706 I 15856 15856] io_service_pool.cc:35: IOServicePool is running with 1 io_service.
[2022-01-10 14:07:02,707 I 15856 16373] accessor.cc:560: Received notification for node id = 1b48b22822d406d2f85ddaf36537bafbf310212f56f3dcf9e3713eb6, IsAlive = 1
[2022-01-10 14:16:58,277 E 16465 15856] logging.cc:317: *** SIGTERM received at time=1641853018 on cpu 1 ***
[2022-01-10 14:16:58,277 E 16465 15856] logging.cc:317: PC: @     0x7f4b071683f4  (unknown)  do_futex_wait.constprop.0
[2022-01-10 14:16:58,277 E 16472 15856] logging.cc:317: *** SIGTERM received at time=1641853018 on cpu 3 ***
[2022-01-10 14:16:58,277 E 16472 15856] logging.cc:317: PC: @     0x7f4b071683f4  (unknown)  do_futex_wait.constprop.0
[2022-01-10 14:16:58,279 E 16465 15856] logging.cc:317:     @     0x7f4b0716a3c0  (unknown)  (unknown)
[2022-01-10 14:16:58,279 E 16458 15856] logging.cc:317: *** SIGTERM received at time=1641853018 on cpu 8 ***
[2022-01-10 14:16:58,279 E 16486 15856] logging.cc:317: *** SIGTERM received at time=1641853018 on cpu 5 ***
[2022-01-10 14:16:58,279 E 16437 15856] logging.cc:317: *** SIGTERM received at time=1641853018 on cpu 11 ***
[2022-01-10 14:16:58,279 E 16444 15856] logging.cc:317: *** SIGTERM received at time=1641853018 on cpu 0 ***
[2022-01-10 14:16:58,279 E 16416 15856] logging.cc:317: *** SIGTERM received at time=1641853018 on cpu 6 ***
[2022-01-10 14:16:58,279 E 16479 15856] logging.cc:317: *** SIGTERM received at time=1641853018 on cpu 10 ***
[2022-01-10 14:16:58,279 E 16416 15856] logging.cc:317: PC: @     0x7f4b071683f4  (unknown)  do_futex_wait.constprop.0
[2022-01-10 14:16:58,279 E 16430 15856] logging.cc:317: *** SIGTERM received at time=1641853018 on cpu 4 ***
[2022-01-10 14:16:58,279 E 16458 15856] logging.cc:317: PC: @     0x7f4b071683f4  (unknown)  do_futex_wait.constprop.0
[2022-01-10 14:16:58,279 E 16486 15856] logging.cc:317: PC: @     0x7f4b071683f4  (unknown)  do_futex_wait.constprop.0
[2022-01-10 14:16:58,279 E 16479 15856] logging.cc:317: PC: @     0x7f4b071683f4  (unknown)  do_futex_wait.constprop.0
[2022-01-10 14:16:58,279 E 16430 15856] logging.cc:317: PC: @     0x7f4b071683f4  (unknown)  do_futex_wait.constprop.0
[2022-01-10 14:16:58,279 E 16437 15856] logging.cc:317: PC: @     0x7f4b071683f4  (unknown)  do_futex_wait.constprop.0
[2022-01-10 14:16:58,280 E 16472 15856] logging.cc:317:     @     0x7f4b0716a3c0  (unknown)  (unknown)
[2022-01-10 14:16:58,281 E 16423 15856] logging.cc:317: *** SIGTERM received at time=1641853018 on cpu 2 ***
[2022-01-10 14:16:58,281 E 16423 15856] logging.cc:317: PC: @     0x7f4b071683f4  (unknown)  do_futex_wait.constprop.0
[2022-01-10 14:16:58,281 E 16479 15856] logging.cc:317:     @     0x7f4b0716a3c0  (unknown)  (unknown)
[2022-01-10 14:16:58,282 E 16465 15856] logging.cc:317:     @               0x80  (unknown)  (unknown)
[2022-01-10 14:16:58,282 E 16416 15856] logging.cc:317:     @     0x7f4b0716a3c0  (unknown)  (unknown)
[2022-01-10 14:16:58,282 E 16486 15856] logging.cc:317:     @     0x7f4b0716a3c0  (unknown)  (unknown)
[2022-01-10 14:16:58,282 E 16430 15856] logging.cc:317:     @     0x7f4b0716a3c0  (unknown)  (unknown)
[2022-01-10 14:16:58,282 E 16437 15856] logging.cc:317:     @     0x7f4b0716a3c0  (unknown)  (unknown)
[2022-01-10 14:16:58,282 E 16458 15856] logging.cc:317:     @     0x7f4b0716a3c0  (unknown)  (unknown)
[2022-01-10 14:16:58,283 E 16472 15856] logging.cc:317:     @               0x80  (unknown)  (unknown)
[2022-01-10 14:16:58,279 E 16444 15856] logging.cc:317: PC: @     0x7f4b071683f4  (unknown)  do_futex_wait.constprop.0
[2022-01-10 14:16:58,283 E 16423 15856] logging.cc:317:     @     0x7f4b0716a3c0  (unknown)  (unknown)
[2022-01-10 14:16:58,284 E 16479 15856] logging.cc:317:     @               0x80  (unknown)  (unknown)
[2022-01-10 14:16:58,285 E 16458 15856] logging.cc:317:     @               0x80  (unknown)  (unknown)
[2022-01-10 14:16:58,285 E 16416 15856] logging.cc:317:     @               0x80  (unknown)  (unknown)
[2022-01-10 14:16:58,285 E 16486 15856] logging.cc:317:     @               0x80  (unknown)  (unknown)
[2022-01-10 14:16:58,285 E 16437 15856] logging.cc:317:     @               0x80  (unknown)  (unknown)
[2022-01-10 14:16:58,285 E 16430 15856] logging.cc:317:     @               0x80  (unknown)  (unknown)
[2022-01-10 14:16:58,287 E 16444 15856] logging.cc:317:     @     0x7f4b0716a3c0  (unknown)  (unknown)
[2022-01-10 14:16:58,288 E 16423 15856] logging.cc:317:     @               0x80  (unknown)  (unknown)
[2022-01-10 14:16:58,290 E 16444 15856] logging.cc:317:     @               0x80  (unknown)  (unknown)
